Cherry Berry,16,4.5,$$,36.631198,-93.275428,Branson,MO
Simply Yo Frozen Treats,10,4.5,$$,37.1490102,-93.2958559,Springfield,MO
The Keeter Center,201,4.5,$$,36.6178699409541,-93.2382202148438,Point Lookout,MO
Andy's Frozen Custard,18,4.5,$,37.1808049563277,-93.2316726930244,Springfield,MO
Dreami Cremes,10,4.0,$$,36.6525344730267,-93.2844132184982,Branson,MO
Pineapple Whip,11,5.0,$,37.14407,-93.294947,Springfield,MO
Pineapple Whip,13,4.0,$,37.1909597905256,-93.2619819045067,Springfield,MO
Braum's,11,4.0,$,37.182044819057,-93.3099063546314,Springfield,MO
Andy's Frozen Custard,29,4.5,$,37.1332891254565,-93.2958286824027,Springfield,MO
Braum's,14,4.0,$,37.24434,-93.31158,Springfield,MO
Maes Gelateria,3,4.5,$$,37.20687,-93.29013,Springfield,MO
Braum's,6,4.5,$,37.13931,-93.27878,Springfield,MO
Pop's Dari Dell,3,4.5,$$,36.753044128418,-93.3822937011719,Reeds Spring,MO
Nonnas Nummies,5,5.0,$,36.6092606,-93.6078568,Shell Knob,MO
Braum's Ice Cream & Dairy Stores,18,3.5,$,37.072152942692,-93.2268378284486,Ozark,MO
Freddy's Frozen Custard & Steakburgers,35,3.5,$,37.132711,-93.299528,Springfield,MO
Braum's,6,3.5,$,37.13891,-93.33131,Springfield,MO
Culver's,22,3.5,$,37.2429821158021,-93.2603613158237,Springfield,MO
Cold Stone Creamery,9,3.5,$$,37.1589009524604,-93.2837848111145,Springfield,MO
Orange Leaf Frozen Yogurt,1,5.0,N/A,37.1960935255033,-93.2623117482349,Springfield,MO
Mr B's Ice Cream Parlor,20,3.5,$,36.6439408119501,-93.2180700593719,Branson,MO
Jackie B Goode's Uptown Cafe,116,3.5,$,36.636709,-93.281871,Branson,MO
Double E Burger and Ice Cream Shop,8,4.0,$,36.9329255586029,-93.2786525040865,Highlandville,MO
"Big Al's Subs, Smoothies & Ice Cream Shop",4,5.0,$,37.0596442,-93.304379,Nixa,MO
Lakeside Restaurant Resort & General Store,11,4.0,$,36.5934788435698,-93.3954855054617,Reeds Spring,MO
Table Rock Area 71,8,5.0,$,36.6063600774353,-93.5667938366532,Shell Knob,MO
Braum's,2,5.0,$$,36.9454116253107,-93.7182184400272,Aurora,MO
Dairy Queen,3,3.5,$$,36.9960467865608,-93.62924023202,Marionville,MO
Marble Slab Creamery,3,4.0,$$,36.6415558,-93.2568665,Branson,MO
Braum's Ice Cream and Dairy Stores,2,3.5,$,37.0475613,-93.3036219,Nixa,MO
Freddy's Frozen Custard & Steakburgers,3,4.5,$,37.00404,-93.22597,Ozark,MO
Braum's,11,3.5,$,37.213451385498,-93.2609786987305,Springfield,MO
Cold Stone Creamery,4,3.5,$$,36.64259,-93.24776,Branson,MO
Smack's Deli & Ice Cream,1,5.0,N/A,36.6439819335938,-93.2174835205078,Branson,MO
Scoops,4,3.0,$,36.6302490234375,-93.3032608032227,Branson,MO
Dairy Queen,2,2.5,N/A,37.1145172119141,-93.4790802001953,Republic,MO
Freddy's Frozen Custard and Steakburgers,2,5.0,N/A,37.14471,-93.25636,Springfield,MO
Dairy Queen,5,3.0,$,37.24098,-93.30798,Springfield,MO
Pineapple Whip,11,4.5,$,37.1611709594727,-93.3131561279297,Springfield,MO
Dairy Queen,6,3.0,$,37.1389623673819,-93.2957176855901,Springfield,MO
Dairy Queen,3,2.5,$$,37.2083953229905,-93.3232705790477,Springfield,MO
Dairy Queen,3,2.0,$,37.1169052273035,-92.1035639941692,Cabool,MO
Dairy Shack,3,4.5,$,37.149331,-91.357765,Eminence,MO
Carolina's Ice Cream Shop & Cafe,6,4.5,$,36.93589,-90.273949,Wappapello,MO
Jodi's Dairy Bar,4,5.0,$,43.9946517944336,-76.0230026245117,Brownville,NY
Marble Slab Creamery,2,4.5,$,36.7803501,-90.4249411,Poplar Bluff,MO
Simply Swirled,2,4.5,$$,36.7573120818394,-90.4060429864872,Poplar Bluff,MO
Flying Dragon Shaved Ice,1,5.0,N/A,36.771364501819,-90.4182712736471,Poplar Bluff,MO
Swirls Frozen Yogurt,5,5.0,$$,37.0751164855168,-88.6952768364886,Paducah,KY
Ice Cream Factory At Riverplace,6,4.0,$,37.0879199,-88.5947599,Paducah,KY
Culver's,5,4.0,$,37.0710356005927,-88.7037537619472,Paducah,KY
Dippin' Dots Treatery,1,5.0,$$,37.07149,-88.69849,Paducah,KY
Dairy Queen,4,4.5,$,37.0831013,-88.6378497,Paducah,KY
Dairy Queen,5,1.5,$,36.7532936625904,-88.6387842916924,Mayfield,KY
Huddle House,2,2.5,$,36.73019,-88.63219,Mayfield,KY
Adams Breezy Hill Farm,13,4.0,$$,37.0829578840489,-87.8797351474795,Princeton,KY
88 Dip,10,4.5,$,37.3398017883301,-88.0792083740234,Marion,KY
Stakz Self-Serve Frozen Yogurt,10,5.0,$,36.9612988147428,-86.4318681177216,Bowling Green,KY
Bru Ster's Real Ice Cream,13,4.5,$,36.94816,-86.42333,Bowling Green,KY
Chaney's Dairy Barn,39,4.0,$,36.8837,-86.52561,Bowling Green,KY
Popworks,4,4.0,N/A,36.971309,-86.433532,Bowling Green,KY
Freddys,26,3.5,$,36.94474,-86.42141,Bowling Green,KY
Frosty Freeze,6,4.0,$,36.7147603983073,-86.5769829634697,Franklin,KY
Baskin Robbins,2,5.0,$,36.9793544,-86.4518355,Bowling Green,KY
Thomas Drugs,11,4.5,$,36.54863,-86.697029,Cross Plains,TN
Dairy Queen,2,1.0,$,36.9600983,-86.4688492,Bowling Green,KY
La Michoacana Gourmet,1,5.0,N/A,37.0634050266968,-86.447570010009,Bowling Green,KY
Crave Frozen Yogurt Cafe,2,2.0,N/A,36.9486182583909,-86.4265529438853,Bowling Green,KY
Banana Boats,2,2.5,$$,36.5997695922852,-86.5340728759766,Portland,TN
The Frozen Spoon,1,5.0,N/A,36.7220940332494,-86.5783267213847,Franklin,KY
Dairy Queen,2,3.5,$,37.4311410822269,-86.8843076798123,Beaver Dam,KY
Columbia Dairy Dip,1,4.0,N/A,37.095015,-85.302705,Columbia,KY
Dairy Queen,2,2.5,$,37.2576297,-85.5030783,Greensburg,KY
Daddy Yo's Frozen Yogurt,2,3.0,$,37.3423061064563,-85.3669032227354,Campbellsville,KY
Dairy Queen,4,4.5,$$,37.289478302002,-85.9018936157227,Munfordville,KY
Tasty Foods,1,4.0,N/A,36.7932404,-85.3692077,Burkesville,KY
Baskin Robbins,1,5.0,$$,37.3452398,-85.3700865,Campbellsville,KY
Daddy Yo's Frozen Yogurt,5,4.0,$,37.1100545691629,-84.0889676795645,London,KY
Froyoz,1,2.0,N/A,36.957331225276,-84.0698920190334,Corbin,KY
Baskin-Robbins,2,4.5,$,37.0430412,-84.625946,Somerset,KY
Huddle House,4,4.0,N/A,37.14078,-84.08534,London,KY
Dunkin' Donuts & Baskin Robbins,1,5.0,$,37.1077669411898,-84.0871325880289,London,KY
Culver's,6,3.0,$,37.0840834901919,-84.617368990884,Somerset,KY
Dairy Queen,3,1.5,$,37.1055763135972,-84.074586865179,London,KY
Dairy Queen,4,2.5,$$,36.9742873926825,-84.1026314936249,Corbin,KY
Dairy Queen,5,1.5,$,36.7257058422175,-84.170427583158,Williamsburg,KY
SweetFrog Premium Frozen Yogurt,3,4.5,$,37.2821617,-83.2272339,Hazard,KY
Dairy Queen,2,4.0,N/A,37.2540634810559,-83.1998677455645,Hazard,KY
Huddle House Restaurant,3,2.5,$,36.8438678,-83.3233049,Harlan,KY
Huddle House of Pennington Gap,3,3.5,N/A,36.749641418457,-83.0470199584961,Pennington Gap,VA
Spencer's Dairy Bar,6,4.0,$,37.4437561035156,-83.6385116577148,Booneville,KY
Fro-Jo's Frozen Yogurt,1,3.0,N/A,37.281375200108,-83.2303694515209,Hazard,KY
149 Sweets,7,4.5,N/A,36.7088878711033,-81.9803657015346,Abingdon,VA
The Southern Churn,3,3.5,$,36.5951195,-82.1842804,Bristol,VA
The Ice Cream Stop,3,4.0,$,36.7133746144155,-81.9315612316132,Abingdon,VA
Sweet Frog Premium Frozen Yogurt,3,5.0,$,36.6337141564645,-82.1274858637143,Bristol,VA
Freddy's Frozen Custard & Steakburgers,16,3.5,$,36.5501365537123,-82.4941673129797,Kingsport,TN
Freddy's Frozen Custard & Steakburgers,4,5.0,$,36.6290791288284,-82.1464877672787,Bristol,VA
Dairy Queen,1,1.0,$,36.7046204,-81.9972,Abingdon,VA
Swirled,1,5.0,$$,36.7060638978577,-81.9740361111108,Abingdon,VA
Sonic America's Drive-in,1,3.0,$,36.626443039296,-82.121643320199,Bristol,VA
Berkshire's Frozen Custard Shop,6,4.0,$$,37.3649244010448,-81.0802428424358,Princeton,WV
Dairy Queen,2,1.0,$,36.9379503,-80.992722,Wytheville,VA
Chill Out Yogurt,1,4.0,$,37.0477771769651,-80.7556283200317,Pulaski,VA
The Corner Shop,13,5.0,$,37.3250319063663,-81.3120393455029,Bramwell,WV
Dairy Queen,2,3.0,$,36.9516616,-80.8816654,Max Meadows,VA
Dairy Queen,5,2.0,$,37.099891678172,-81.1312706564114,Bland,VA
Dairy Queen,8,4.0,$,37.2548921406269,-81.2025354802608,Bluefield,WV
Pizza Inn/TCBY,7,2.5,$,36.7444247193339,-80.7750899466187,Hillsville,VA
Lynn's Drive-In,10,4.5,$,37.30789,-81.25874,Bluefield,WV
